plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
HN_SIL,2,2017,1418,4,33.9578944758391
KA_BR,2,2017,1418,225,249.866782093009
KA_BR_HSA,2,2017,1418,44,124.251801761732
KA_G,2,2017,1418,24,36.4305567069571
KA_G_COIN,2,2017,1418,23,54.4750062959796
KA_P,2,2017,1418,22,14.6183384961176
KA_SIL,2,2017,1418,510,302.469889864469
Small_BR,2,2017,1418,98,43.6971932869337
Small_G,2,2017,1418,11,16.0610404911263
Small_P,2,2017,1418,5,7.75794888879011
Small_SIL,2,2017,1418,223,169.302762148713
BS_BR,2,2018,1190,41,51.9901172056031
BS_BR_HSA,2,2018,1190,15,29.3309143935296
BS_G,2,2018,1190,17,1.45136725027133
BS_G3,2,2018,1190,0,0.333762924337775
BS_P,2,2018,1190,3,0.0311351366037164
BS_P3,2,2018,1190,0,0.00552858915787267
BS_SIL,2,2018,1190,66,17.2989974560934
BS_SIL3,2,2018,1190,0,6.03550582623678
HN_BR,2,2018,1190,3,49.8715328078428
HN_G,2,2018,1190,0,1.06335628536493
HN_P,2,2018,1190,1,0.127680863931791
HN_SIL,2,2018,1190,0,8.00786920856336
KA_BR,2,2018,1190,193,253.443143022704
KA_BR_HSA,2,2018,1190,36,130.528899524849
KA_G,2,2018,1190,112,92.3325143109675
KA_G_COIN,2,2018,1190,167,148.295540407042
KA_P,2,2018,1190,55,35.4505166342688
KA_SIL,2,2018,1190,321,246.246152140174
Small_BR,2,2018,1190,53,38.1318081470313
Small_G,2,2018,1190,33,18.4326329767215
Small_P,2,2018,1190,11,7.82812487803349
Small_SIL,2,2018,1190,63,53.7629000106728
BS_BR,2,2019,499,16,14.7834719858751
BS_BR_HSA,2,2019,499,6,8.25383427264661
BS_G,2,2019,499,7,0.357977421097271
BS_G3,2,2019,499,1,0.147973466584209
BS_P,2,2019,499,0,0.00667799935503096
BS_P3,2,2019,499,1,0.00188252227321417
BS_SIL,2,2019,499,30,4.35562554819987
BS_SIL3,2,2019,499,0,2.5309416685561
HN_BR,2,2019,499,1,15.4541124870989
HN_G,2,2019,499,0,0.179531001675787
HN_P,2,2019,499,0,0.0191269524002356
HN_SIL,2,2019,499,0,1.48423038440729
KA_BR,2,2019,499,64,111.823177255255
KA_BR_HSA,2,2019,499,16,62.5045887918477
KA_G,2,2019,499,34,23.6027094346218
KA_G_COIN,2,2019,499,30,43.9410544232385
KA_P,2,2019,499,27,9.18949027808664
KA_SIL,2,2019,499,174,146.797140358632
Small_BR,2,2019,499,36,19.696158949121
Small_G,2,2019,499,15,7.77047728496389
Small_P,2,2019,499,6,3.23006861155699
Small_SIL,2,2019,499,35,22.8697489025073
ANT_BR,3,2014,3169,354,260.300352717469
ANT_BR_HSA,3,2014,3169,43,130.758140894296
ANT_G,3,2014,3169,21,56.4676476976786
ANT_G3,3,2014,3169,0,1.04962939133855
ANT_P,3,2014,3169,19,16.9763664293191
ANT_P3,3,2014,3169,0,0.257925023138009
ANT_SIL,3,2014,3169,690,499.909605257505
ANT_SIL3,3,2014,3169,0,20.2672709493181
BS_BR,3,2014,3169,66,216.186111375351
BS_BR_HSA,3,2014,3169,32,117.338313968808
BS_G,3,2014,3169,49,73.6807538259053
BS_P,3,2014,3169,31,24.8288290758277
BS_SIL,3,2014,3169,684,559.173209362544
KA_BR,3,2014,3169,289,387.202806543202
KA_G,3,2014,3169,33,58.7344054597589
KA_P,3,2014,3169,54,32.2969101856622
KA_SIL,3,2014,3169,739,593.913341527057
Small_BR,3,2014,3169,21,47.7081870303997
Small_G,3,2014,3169,2,7.44144967859257
Small_P,3,2014,3169,5,3.59802229450854
Small_SIL,3,2014,3169,37,60.9107213123226
ANT_BR,3,2015,3948,430,309.835707101017
ANT_BR_HSA,3,2015,3948,44,155.502779407331
ANT_G,3,2015,3948,34,58.9018326605801
ANT_G3,3,2015,3948,0,0.313109212416716
ANT_P,3,2015,3948,13,15.4118978248307
ANT_P3,3,2015,3948,0,0.0590235597726528
ANT_SIL,3,2015,3948,948,621.442923888621
ANT_SIL3,3,2015,3948,0,8.98510016249409
BS_BR,3,2015,3948,88,242.793911912037
BS_BR_HSA,3,2015,3948,27,132.33885849179
BS_G,3,2015,3948,60,75.3482875065393
BS_P,3,2015,3948,28,24.4408574088579
BS_SIL,3,2015,3948,567,597.135811704958
KA_BR,3,2015,3948,464,475.474901931646
KA_G,3,2015,3948,47,83.1470323799315
KA_P,3,2015,3948,79,48.2913318063549
KA_SIL,3,2015,3948,1039,842.713780206202
