"statistic","point","boot_mean","se","ci_lo","ci_hi","n_draws"
"defund_obj",59.7706871198654,59.8661146156046,0.676429698649893,58.5922573018258,61.0746058425238,30
"aligned_dcs",7.47786263068352,7.47503320968245,0.0558891840706944,7.39357749916834,7.58259911306949,30
"aligned_dcs_nc",3.08295351270582,3.08725362847053,0.0192267340152094,3.05558049734744,3.11807281654816,30
"aligned_nav",6.81815865365805,6.4997043815111,1.80551068927173,4.90760767833038,11.8885883230446,30
"aligned_obj",15.6984301436646,15.7030102999565,0.111891239492359,15.5256950641916,15.8548893849539,30
"aligned_obj_prem",3.1419074963542,3.13943683607056,0.0602150927504799,3.03571766560367,3.25760029131496,30
"aligned_obj_eoop",2.57389090013503,2.57562737230963,0.0546684979700065,2.49248976802911,2.68356778108885,30
"aligned_obj_risk",9.98263174717547,9.98794609157628,0.0361154127377812,9.92819483767092,10.0377939728066,30
"dshare_zero_tau0.00",0.0778794683193092,0.0778825769612355,0.000195699627056552,0.0775579127982545,0.0781959436734337,30
"dobjins_zero_tau0.00",397.008945460609,396.930461649571,0.977152639009696,394.910158452209,398.102878814482,30
"doop_zero_tau0.00",49.9308340385361,49.9324356220963,0.137310928643215,49.6949610234843,50.1619073012414,30
"dmort_zero_tau0.00",0.000338094642140543,0.000338193214831596,9.11385661839961e-07,0.000336717170953732,0.000339708044894238,30
"dcat_zero_tau0.00",0.0032344494729183,0.00323538735000879,7.87242590162404e-06,0.00322396648677859,0.00324931141539086,30
"dshare_zero_tau1.00",0.00909619491931548,0.00907486605181469,0.000196042881683194,0.00875903415341959,0.00945393328300108,30
"dobjins_zero_tau1.00",-11.6563815506953,-12.198211839422,1.72793734853311,-15.9298108098323,-9.71630645101238,30
"doop_zero_tau1.00",5.26589799560306,5.25152207191289,0.117767372029217,5.05993318161292,5.4883747480404,30
"dmort_zero_tau1.00",3.89765273489883e-05,3.88978089808082e-05,8.45684538433523e-07,3.75539327136765e-05,4.05873814758114e-05,30
"dcat_zero_tau1.00",0.000462018548810303,0.000461457568469612,8.8450776980095e-06,0.000448012623720777,0.000479284043066461,30
"dshare_uniform",-0.000720978301701971,-0.000721411816987457,3.52534419493935e-06,-0.0007261964280267,-0.000716135591046481,30
"dobjins_uniform",0.735878016371241,0.733802038569074,0.0297813699594769,0.678047103454442,0.772490257258509,30
"doop_uniform",-0.404050826287896,-0.404298808276583,0.00212986711051289,-0.407022353860078,-0.401174116219228,30
"dmort_uniform",-3.07046607090402e-06,-3.07371834786029e-06,1.45224970509367e-08,-3.09295608777369e-06,-3.05184088220382e-06,30
"dcat_uniform",-3.59479481797905e-05,-3.5980968119874e-05,1.74750555171869e-07,-3.62815142434508e-05,-3.5678589197292e-05,30
"dshare_aligned",-0.000981284818165007,-0.000981511779943403,3.04619796189431e-06,-0.000987882125538918,-0.000976624502974616,30
"dobjins_aligned",6.06102295480484,6.06044207622249,0.10692818789443,5.90527513634435,6.22798458231837,30
"doop_aligned",-0.498922888825451,-0.499060398064166,0.00166037358334022,-0.502697898566775,-0.496569305838813,30
"dmort_aligned",-4.03797840699511e-06,-4.04040762613171e-06,1.34448921578474e-08,-4.06531622110722e-06,-4.01993964882563e-06,30
"dcat_aligned",-6.5112339504078e-05,-6.51268092248347e-05,2.25209600587907e-07,-6.55466615050722e-05,-6.47737038525804e-05,30
"dshare_endog_tau1.00",0.00827038593873388,0.00824956437940513,0.000195164159650306,0.00793393838803616,0.0086258102572348,30
"dobjins_endog_tau1.00",30.7624420093381,30.461835334657,1.26980959388514,27.9664719193632,32.6189589355358,30
"doop_endog_tau1.00",4.77697973390114,4.76295779560227,0.117225310122143,4.57166368898447,4.99806794036002,30
"dmort_endog_tau1.00",3.55572028975958e-05,3.54802794425283e-05,8.41357575952839e-07,3.41384563642184e-05,3.71589713312705e-05,30
"dcat_endog_tau1.00",0.000426222046366338,0.000425673326370707,8.81073751155981e-06,0.000412250672510692,0.000443565205823429,30
"dshare_flat_mandate",-0.000498953287804456,-0.000499027372317915,2.73354214998541e-06,-0.000503987343436702,-0.000494587081203615,30
"dobjins_flat_mandate",2.39454443714885,2.39549037814733,0.054228773101637,2.31344881976896,2.48705224683714,30
"doop_flat_mandate",-0.272954841762418,-0.273022880654922,0.00152804723559789,-0.276032036372691,-0.270545214791522,30
"dmort_flat_mandate",-2.32581985724637e-06,-2.32710774386856e-06,1.37928620164652e-08,-2.3528725400868e-06,-2.30682600132985e-06,30
