"param","(Intercept)","log_risk_score","HMO","year_2015","year_2016","year_2017","year_2018","Anthem","Blue_Shield","Kaiser","Health_Net","share_ra2","share_ra3","share_ra4","share_ra5","share_ra6","share_ra7","share_ra8","share_ra9","share_ra10","share_ra11","share_ra12","share_ra13","share_ra14","share_ra15","share_ra16","share_ra17","share_ra18","share_ra19","wedge_ANT","wedge_BS","wedge_CC","wedge_HN","wedge_KA","wedge_LA","wedge_MOL","wedge_OSC","wedge_SH","wedge_VAL","wedge_WEST"
"Health_Net",-7.17876957852918e-06,2.09951923567812e-05,-2.43237781097123e-05,-1.39379628909014e-05,-2.58324176622713e-05,-2.57091225761828e-05,-6.29839930828779e-05,8.71648673759354e-05,0.000281895056234479,0.000195730815796188,0.000426126497770022,0.000187029199915122,-0.000106024564333404,0.00019193512342518,-0.000688533798662383,1.40102646372391e-05,3.8658765001313e-05,-0.00119629566728348,-0.000714200958814353,7.78108157429419e-06,0.0021104490142439,0.000137378848213517,0.000100311475746186,-0.00490482301872454,-0.000448761284850928,0.000401326349957779,-0.000108679977877703,-0.00099622915940033,9.4458910802536e-06,0.000101665165383982,-2.10530716381834e-05,0.000356905388554271,-2.32370615472544e-05,-0.000100169406726804,-7.92152267595602e-05,2.81909869597543e-05,0.000399400313984701,0.000186662573056826,1.24308955728924e-05,-0.000125575180263242
"share_ra2",-1.27211889153266e-05,3.4416979106699e-05,-7.79999786177921e-05,-1.02965930504626e-05,-2.19811730454288e-05,-3.08746982899394e-06,7.23949532655428e-05,-7.78505632697259e-05,0.000450359237000449,0.000595244054582643,0.00018702919991511,0.00704003549756944,-0.00632422261302206,-5.51479934898527e-05,-0.00853746847064865,0.0020234374008438,7.16750007620231e-05,0.000756514829891764,0.000111116491752694,0.000555884211476128,0.00450509119135337,0.00121597432071378,3.22629285145751e-05,-0.0131605880514107,0.000152483276254963,-1.40960064590701e-06,7.84733174569002e-05,-6.63007979697188e-05,5.42295183911616e-05,0.000346492505031054,-0.000763765710645355,4.66435832921049e-05,0.000835914431439162,-2.38896149056302e-06,-0.000110670842427202,-8.55578312579548e-06,0.000110577676652706,0.000170826158516741,0.000123627284149897,-0.0109138970051777
"share_ra3",2.97870623246822e-05,-8.80059863192004e-05,-0.00054479012365393,-5.90717639572928e-05,-7.35375948232279e-05,-2.59249115355553e-05,-9.22362854690161e-05,0.00035830676266642,-0.000192619528275665,0.000260447578747229,-0.000106024564333318,-0.00632422261302202,0.00712510294600042,0.000626593645765523,0.0047267004538038,-0.00351035845871473,0.00062588021393349,0.00122167853311275,-0.000471663529900115,-0.00113176151683538,-0.0114804789854102,-0.000727164628150051,0.000715989564878304,0.00683311835666146,0.00145715863043226,-4.77462782701146e-05,0.000702802334762366,0.00034310952524961,0.000608085661714312,-0.000337531353094768,0.000155281999629259,-0.000935704245689263,-0.00108441603857117,-6.56866239723214e-05,4.95127941269181e-05,1.40139665253459e-05,-0.000408420383695962,0.000231349018898588,-0.000253617188646684,0.0103925525818807
"share_ra4",1.57300463599995e-06,-6.65169308764362e-06,-0.000250329249157847,-3.41806113887875e-05,-4.40923462458957e-05,-4.5824391730299e-05,-7.08692849561243e-05,6.77239215253868e-05,3.60376644536195e-05,9.46160533766728e-05,0.000191935123425232,-5.51479934897557e-05,0.000626593645765438,0.000760643057080685,0.00274686945563184,-8.54790421829947e-06,0.000305581088474557,-0.0030042862624942,-0.000388590921488607,-2.29566700626175e-05,-0.00123810935807531,0.00069208504221525,0.000369569805902638,-0.00654345312146055,0.000599484558044687,3.66010455844236e-05,0.000276868128273144,-3.49075640967271e-05,0.00025593698772628,5.6863813901156e-05,-0.000276371208219774,0.000595861113738355,-0.000236561980411904,7.61907367749954e-05,-5.21855235730929e-05,1.57983821391581e-05,0.000102188950201282,0.000225089673511362,-4.29222140218017e-05,0.000527738003961645
"share_ra5",8.26054526682252e-05,-0.000246671661945036,0.00187112567645761,-4.40723664048382e-05,-5.83220231638668e-05,-0.000334020782666884,-0.000374407962615618,-0.00119321792465232,-0.00304555659698875,-0.0067315796445165,-0.000688533798662304,-0.00853746847064745,0.00472670045380316,0.00274686945563226,0.0687765408182421,0.0116063685651112,-0.00141797078132131,-0.0395094484740625,-0.000181785864969471,0.00246030577073011,0.0183258493000082,0.00306126479232655,-0.00163413518183205,-0.000230071603923726,-0.00273991800504666,-0.000968877329276658,-0.0019761651334124,0.00384840774109692,-0.00169260269463435,-0.000318196775709481,0.00139364068459456,0.0121446220367188,-0.000582565359034568,0.000839532882934983,-0.000273168878701242,-8.14524722300649e-05,-0.001460767225815,-0.000270724081735134,-0.000349873101737302,0.0108452293545742
"share_ra6",0.000101303868780821,-0.000294182693193364,0.000899977114092228,6.20162048018618e-05,0.000182304356624723,0.000253431943407488,4.64354427516016e-05,-0.0021849125779951,-0.00357205256984157,-0.00750089938340968,1.40102646373405e-05,0.00202343740084508,-0.00351035845871551,-8.54790421784776e-06,0.0116063685651123,0.0629058494073642,-0.000979271624547629,-0.00957208075374038,0.000112692724407019,0.0021972585954838,0.0217174135741006,-0.00218401127623457,-0.00104109875503105,-0.0316254974374216,-0.00137909061060818,-0.000584553524722571,-0.000669647841649626,0.00134071608515194,-0.000691248469085569,0.00191222300803155,0.00350789056957381,0.00297328076383534,-0.000348847346899492,-0.00318606830393199,0.000490294183972253,-7.52706368298672e-05,-0.00116551821630041,-0.00165719137060922,-0.00106273644294674,-0.00551822915618798
"share_ra7",5.48925806417324e-06,-1.78736796860194e-05,-0.000307914157197992,-3.48752302940216e-05,-3.8461403229934e-05,-3.92696533256653e-05,-2.70086435635218e-05,0.000126642231416028,0.000104150607163865,0.000413835146808166,3.865876500135e-05,7.16750007620394e-05,0.000625880213933479,0.000305581088474556,-0.00141797078132155,-0.000979271624547914,0.00037606974368115,0.000755842833665115,-0.000222585833657414,-0.000249142065579488,-0.00349493811136772,0.000284780262658,0.000383213103510585,-0.00261124712421562,0.000804253580088007,-2.21824232164118e-05,0.000376174251113743,0.000195002736239482,0.000321327683731563,-2.00950423561072e-05,-0.000251839652425899,-0.00032332557198938,-0.000150582347066045,-4.88875540676194e-06,-3.10320884543334e-05,5.45715179013442e-06,-0.000151137124096842,0.000176957610284387,-6.70816969544052e-05,0.000333646841269381
"share_ra8",1.73255994437782e-05,-4.91856650069948e-05,-0.000954526249503254,-2.01465236750477e-06,-7.81868785990167e-06,0.000233187221660156,0.000376036114704155,0.000727132531435119,0.000853663068802119,0.00339870287154119,-0.00119629566728354,0.000756514829890895,0.00122167853311343,-0.00300428626249424,-0.0395094484740608,-0.00957208075373839,0.000755842833665047,0.0345898376070476,0.00114319572353423,-0.00246576359943427,-0.0244688608576151,-0.00355765454333173,0.000659079113462655,0.0305554519883592,0.00286731520650681,-0.000577211110059956,0.00142648964229777,0.00122969672937607,0.000988304578921531,-0.000444275162088337,-0.000111864417181725,-0.0116986504744862,0.000631170178410168,-0.000481865696210366,0.000326290238111261,-6.06184849171696e-05,-0.00120422760548438,-6.10967152054905e-05,-2.28223677691403e-05,-0.00104641304025534
"share_ra9",-8.16376283869958e-07,8.34573810428938e-07,0.00018855757746086,1.03541475890749e-05,3.95892488087332e-06,2.48994279884638e-05,0.000111357772320418,-7.51451459155554e-05,-0.000394410575400563,-0.000197272048604934,-0.000714200958814402,0.000111116491752539,-0.000471663529899946,-0.00038859092148855,-0.000181785864968589,0.000112692724408144,-0.000222585833657399,0.00114319572353389,0.00413889299390733,-0.000881944089365852,-0.00249858356256285,-0.000972469634766395,-0.000329898550438658,0.00888593683679863,0.000337413885504613,-0.000595056712967335,-5.19085989136021e-05,0.00145805900089675,-0.00018891045684301,-5.46019012968123e-05,-0.000104081792636157,-0.000293997620489944,-0.00195834234778938,0.000102310298271743,6.91978946047486e-05,-4.69442676168049e-05,-0.000452890324774332,-2.32294019114711e-05,0.000125716370356188,-0.000693305145152857
"share_ra10",-2.44879114261059e-05,6.8312105034033e-05,0.000299838444850879,-1.60882974165959e-05,-2.6714824145319e-05,-0.000101701290746136,-0.00016365470266911,-0.00083164593661625,-0.000302361238215098,-0.000798006622946669,7.78108157430032e-06,0.000555884211476231,-0.00113176151683534,-2.29566700625601e-05,0.00246030577072962,0.00219725859548325,-0.000249142065579426,-0.00246576359943413,-0.000881944089365985,0.00550163837327209,0.00642641090569341,0.000554388868307081,-0.000167281674514543,-0.00546460852640181,-0.000242273641345011,-0.000203916342351744,-0.000405837276292887,0.00071199059237084,-0.000347242721178214,-0.00019618922106161,0.000433905932553191,0.000775552059467795,6.35063117937898e-05,-5.02941234675796e-05,0.000137179550023224,1.17175020927657e-05,0.0003043514645264,0.000296387552459328,0.00018122376395728,-0.0007167802834743
