plan_name,tot_nonmiss,obs_purchase,pred_purchase,region,year
ANT_SIL3,2159,0,55.989422903302874,3,2014
BS_BR,2159,26,0.09452903588998322,3,2014
BS_BR_HSA,2159,7,0.04633080593763337,3,2014
BS_G,2159,15,17.632256125816674,3,2014
BS_P,2159,22,27.133683167708355,3,2014
BS_SIL,2159,279,2.8527960802078605,3,2014
KA_BR,2159,73,0.5688988389361137,3,2014
KA_G,2159,15,62.1125781292166,3,2014
KA_P,2159,26,79.27383204012752,3,2014
KA_SIL,2159,293,8.871389018951326,3,2014
Small_BR,2159,9,0.051429539282970664,3,2014
Small_G,2159,1,2.3604892097791224,3,2014
Small_P,2159,5,3.3132954126328,3,2014
Small_SIL,2159,10,0.8166832505360307,3,2014
Uninsured,2159,944,11.563669085281036,3,2014
ANT_BR,2507,191,2.109826840102018,3,2015
ANT_BR_HSA,2507,23,1.0759648746799633,3,2015
ANT_G,2507,9,93.19553538734134,3,2015
ANT_G3,2507,0,429.11885542130784,3,2015
ANT_P,2507,5,148.59015578722605,3,2015
ANT_P3,2507,0,1579.281091884114,3,2015
ANT_SIL,2507,369,27.866904991797917,3,2015
ANT_SIL3,2507,0,61.87530849596356,3,2015
BS_BR,2507,37,0.09618305209813507,3,2015
BS_BR_HSA,2507,16,0.0472074823677434,3,2015
BS_G,2507,21,15.213799323089534,3,2015
BS_P,2507,14,22.4905967075805,3,2015
BS_SIL,2507,277,2.7512973949285433,3,2015
KA_BR,2507,182,0.5469163309679308,3,2015
KA_G,2507,20,45.41360299879788,3,2015
KA_P,2507,35,54.72971268281403,3,2015
KA_SIL,2507,442,7.553359784725181,3,2015
Small_BR,2507,8,0.051449444289234696,3,2015
Small_G,2507,7,1.3454428475980464,3,2015
Small_P,2507,0,1.7819601549191584,3,2015
Small_SIL,2507,27,0.5534970610253428,3,2015
Uninsured,2507,824,11.311331052266011,3,2015
ANT_BR,2619,157,1.9141432999849288,3,2016
ANT_BR_HSA,2619,77,0.8727362781475505,3,2016
ANT_G,2619,15,96.83408222385218,3,2016
ANT_G3,2619,0,415.63924103381225,3,2016
ANT_P,2619,5,160.59364613730975,3,2016
ANT_P3,2619,0,1697.030890384836,3,2016
ANT_SIL,2619,303,26.148154434538,3,2016
ANT_SIL3,2619,0,60.02367986561552,3,2016
BS_BR,2619,43,0.09146663672592557,3,2016
BS_BR_HSA,2619,14,0.04693396876727565,3,2016
BS_G,2619,32,16.832581192612963,3,2016
BS_P,2619,8,39.95969846809081,3,2016
BS_SIL,2619,302,2.4672081881875556,3,2016
HN_BR,2619,0,0.0013540690694028342,3,2016
HN_G,2619,0,0.4660689917186258,3,2016
HN_P,2619,0,0.8358274552736719,3,2016
HN_SIL,2619,2,0.10077430302325661,3,2016
KA_BR,2619,154,0.47396787071168545,3,2016
KA_BR_HSA,2619,41,0.23019148832524317,3,2016
KA_G,2619,23,35.49171466434542,3,2016
KA_P,2619,37,44.00447170402322,3,2016
KA_SIL,2619,571,6.290719577354356,3,2016
Small_BR,2619,11,0.04252842120864868,3,2016
Small_G,2619,6,1.0777922341883914,3,2016
Small_P,2619,6,1.4132891792507865,3,2016
Small_SIL,2619,24,0.4446014547380285,3,2016
Uninsured,2619,788,9.672236474288484,3,2016
ANT_BR,2638,128,1.1822312697025854,3,2017
ANT_BR_HSA,2638,54,0.5765031328378621,3,2017
ANT_G,2638,1,85.49681153257593,3,2017
ANT_G3,2638,0,295.5781998313002,3,2017
ANT_P,2638,3,169.75447075386697,3,2017
ANT_P3,2638,0,1848.853096926491,3,2017
ANT_SIL,2638,138,20.105136793847265,3,2017
ANT_SIL3,2638,0,47.664173438543926,3,2017
BS_BR,2638,28,0.06585268213435173,3,2017
BS_BR_HSA,2638,16,0.031014453868344165,3,2017
BS_G,2638,9,14.322285244009091,3,2017
BS_G3,2638,1,9.884903895916342,3,2017
BS_P,2638,8,41.01295570570635,3,2017
BS_P3,2638,0,25.272699697345143,3,2017
BS_SIL,2638,203,1.9451725653377017,3,2017
BS_SIL3,2638,0,1.3829609252371151,3,2017
HN_BR,2638,2,9.12344806659386e-4,3,2017
HN_G,2638,0,0.41262865934261145,3,2017
HN_P,2638,0,0.8584383429241005,3,2017
HN_SIL,2638,0,0.0793474676590626,3,2017
KA_BR,2638,258,0.24091504683658227,3,2017
KA_BR_HSA,2638,60,0.12314077131956315,3,2017
KA_G,2638,32,19.081105294629754,3,2017
KA_G_COIN,2638,20,17.060310313933368,3,2017
KA_P,2638,38,24.905363847011486,3,2017
KA_SIL,2638,800,3.5243600650583833,3,2017
Small_BR,2638,26,0.023698162303440552,3,2017
Small_G,2638,3,0.6538342454995464,3,2017
Small_P,2638,2,0.8993410745338294,3,2017
Small_SIL,2638,113,0.2500181198912723,3,2017
Uninsured,2638,695,6.758117395530223,3,2017
BS_BR,2699,58,0.4796483495093546,3,2018
BS_BR_HSA,2699,31,0.23203968137865488,3,2018
BS_G,2699,18,179.83542917489424,3,2018
BS_G3,2699,6,32.74828061003815,3,2018
BS_P,2699,3,1880.3852162614621,3,2018
BS_P3,2699,1,108.31993441508668,3,2018
BS_SIL,2699,148,26.390158550414828,3,2018
BS_SIL3,2699,369,5.445940618455838,3,2018
HN_BR,2699,20,0.004942584452227486,3,2018
HN_G,2699,0,3.5392482158572625,3,2018
HN_P,2699,0,16.653692657485035,3,2018
HN_SIL,2699,7,0.8050797161822809,3,2018
KA_BR,2699,314,1.461060613095212,3,2018
KA_BR_HSA,2699,81,0.7344709925539645,3,2018
KA_G,2699,101,118.60651880035755,3,2018
KA_G_COIN,2699,160,103.01599786804279,3,2018
KA_P,2699,55,157.28883147756434,3,2018
KA_SIL,2699,557,30.731332121075685,3,2018
Small_BR,2699,39,0.16302608446169733,3,2018
Small_G,2699,8,5.319837592139233,3,2018
Small_P,2699,3,7.918620822407262,3,2018
Small_SIL,2699,23,3.1585070823226165,3,2018
Uninsured,2699,697,15.762185710763115,3,2018
BS_BR,2461,40,0.3391472906233283,3,2019
BS_BR_HSA,2461,35,0.16599427755795504,3,2019
BS_G,2461,13,147.1871372295971,3,2019
BS_G3,2461,9,21.30919341883504,3,2019
BS_P,2461,6,1827.532332881995,3,2019
BS_P3,2461,0,80.20766160030358,3,2019
BS_SIL,2461,120,20.064655673289227,3,2019
BS_SIL3,2461,344,3.379505730783889,3,2019
HN_BR,2461,13,0.003673363857768107,3,2019
HN_BR_HSA,2461,5,0.0018164684663576909,3,2019
HN_G,2461,2,2.8164882440723984,3,2019
HN_P,2461,0,15.38141690707955,3,2019
HN_SIL,2461,9,0.5051583107620787,3,2019
KA_BR,2461,279,0.9646006883914772,3,2019
KA_BR_HSA,2461,75,0.4607284537672899,3,2019
KA_G,2461,60,94.12390717438095,3,2019
KA_G_COIN,2461,80,78.08112952822724,3,2019
KA_P,2461,40,126.9473187604703,3,2019
KA_SIL,2461,604,18.02600148625595,3,2019
Small_BR,2461,31,0.09655904503344769,3,2019
Small_G,2461,4,3.661404920038941,3,2019
Small_P,2461,2,5.599935360194441,3,2019
Small_SIL,2461,12,2.0882448751000817,3,2019
Uninsured,2461,678,12.055988310916652,3,2019
ANT_BR,1026,26,2.580250318889547,4,2014
ANT_BR_HSA,1026,5,1.3204547223742196,4,2014
ANT_G,1026,3,189.64024466526854,4,2014
ANT_P,1026,4,421.66533792894484,4,2014
ANT_SIL,1026,49,43.427741910600226,4,2014
BS_BR,1026,13,0.11276472199299778,4,2014
BS_BR_HSA,1026,9,0.05484904508478027,4,2014
BS_G,1026,14,27.625262018212645,4,2014
BS_P,1026,10,55.24213412874012,4,2014
BS_SIL,1026,99,3.8071593937507506,4,2014
HN_BR,1026,15,0.001486646311533791,4,2014
HN_G,1026,2,1.1582575683708647,4,2014
HN_P,1026,1,5.280974999972827,4,2014
HN_SIL,1026,10,0.18676885592089415,4,2014
KA_BR,1026,39,0.6347438830552323,4,2014
KA_G,1026,6,100.299611067968,4,2014
KA_P,1026,11,148.4035505827819,4,2014
KA_SIL,1026,91,11.566028671311933,4,2014
Small_BR,1026,73,0.06819513064646479,4,2014
Small_G,1026,2,1.7494050045806282,4,2014
Small_P,1026,1,2.7733310251552,4,2014
Small_SIL,1026,148,0.43773584738924254,4,2014
Uninsured,1026,395,7.963711862676631,4,2014
ANT_BR,1157,42,3.0996983804248504,4,2015
ANT_BR_HSA,1157,8,1.5863208637372674,4,2015
ANT_G,1157,3,222.75435975460846,4,2015
ANT_P,1157,3,572.0195084084643,4,2015
ANT_SIL,1157,65,50.341247519741174,4,2015
BS_BR,1157,23,0.13207797978152627,4,2015
BS_BR_HSA,1157,11,0.0642795477148218,4,2015
BS_G,1157,19,27.923375611819147,4,2015
BS_P,1157,16,53.098010645191394,4,2015
BS_SIL,1157,135,4.271968103325279,4,2015
HN_BR,1157,6,0.0019903516551698698,4,2015
HN_G,1157,0,1.2297163576531078,4,2015
HN_P,1157,0,4.9627162261384115,4,2015
HN_SIL,1157,3,0.22529134978809157,4,2015
KA_BR,1157,82,0.693666152705283,4,2015
KA_G,1157,10,80.9759500473979,4,2015
KA_P,1157,13,108.23679300883323,4,2015
KA_SIL,1157,139,11.155920840601311,4,2015
Small_BR,1157,86,0.08635601804635354,4,2015
