region,year,scenario,tau,plan_id,premium_obs,premium_cf,premium_change,share_obs,share_cf,mc,commission_pmpm,markup_cf,cs_weighted,nleqslv_termcd,nleqslv_iter
1,2014,observed,NA,KA_SIL,350.1,3243.338920125785,2893.238920125785,0.0781514872355098,9.187123019953631e-5,947.2267402036199,6.25,2296.112179922165,-5.67292245030493,4,100
1,2014,zero_tau0.00,0,ANT_BR,233.61,-1347.5489331778926,-1581.1589331778928,0.0640502996776574,0.07124221705611632,-1573.6532606761111,0,226.10432749821848,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,ANT_BR_HSA,235.19,-1347.5503007966192,-1582.7403007966193,0.02821139326088495,0.03166824318649157,-1573.6532606761111,0,226.1029598794919,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,ANT_G,375.66,658.5806311146954,282.92063111469537,0.02678313033882387,8.409959512499888e-4,690.6844164383768,0,-32.10378532368145,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,ANT_P,435.62,658.5677298885126,222.94772988851264,0.01183989824037891,8.411074385004785e-4,614.1691112552944,0,44.398618633218234,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,ANT_SIL,312.48,8245.652262639078,7933.172262639078,0.14309933749243395,1.0455094080180352e-5,9540.034004891353,0,-1294.3817422522752,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,BS_BR,265.65,-1295.653700318482,-1561.3037003184818,0.06449284271751243,0.0974380340854477,-1585.0177566264174,0,289.36405630793547,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,BS_BR_HSA,261.29,-1295.6534727354308,-1556.9434727354308,0.02962451094892621,0.04331268012898959,-1585.0177566264174,0,289.3642838909866,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,BS_G,378.69,40281.184658217775,39902.49465821777,0.0337716421925727,2.373962016290633e-12,11237.929685933885,0,29043.25497228389,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,BS_P,433.92,3145.2822319652196,2711.3622319652195,0.01649435375867954,3.574392455974486e-5,13451.64684333712,0,-10306.3646113719,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,BS_SIL,321.59,-434.07466225970535,-755.6646622597053,0.1493087167174965,0.40954602327754264,1549.2430022160509,0,-1983.3176644757561,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,KA_BR,257.35,-1403.756804341969,-1661.106804341969,0.05927405144975062,0.08701847960468871,-1589.977010128241,0,186.22020578627212,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,KA_G,425.63,659.0154539281103,233.38545392811034,0.01444628305487401,0.001022653540388843,696.978939869028,0,-37.96348594091762,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,KA_P,457.77,659.166783318436,201.39678331843606,0.00944272347125443,0.0010210662928368136,634.5451650811732,0,24.62161823726285,-5.392545751113858,5,37
1,2014,zero_tau0.00,0,KA_SIL,350.1,46801.76542260445,46451.66542260445,0.0781514872355098,5.55801532646043e-13,9538.09097321759,0,37263.67444938686,-5.392545751113858,5,37
1,2014,uniform,NA,ANT_BR,233.61,22.169103576401685,-211.44089642359833,0.0640502996776574,0.07411239864204036,-13.440605684351226,12.128053571428623,35.60970926075291,-5.670075579668579,4,100
1,2014,uniform,NA,ANT_BR_HSA,235.19,22.161585622989318,-213.02841437701068,0.02821139326088495,0.03294434362804048,-13.44238498187724,12.128053571428623,35.60397060486656,-5.670075579668579,4,100
1,2014,uniform,NA,ANT_G,375.66,832.0747095439237,456.4147095439237,0.02678313033882387,1.891966663360095e-4,852.3031678979794,12.128053571428623,-20.228458354055647,-5.670075579668579,4,100
1,2014,uniform,NA,ANT_P,435.62,793.8988336653059,358.2788336653059,0.01183989824037891,2.469039114118815e-4,850.7316557076895,12.128053571428623,-56.832822042383555,-5.670075579668579,4,100
1,2014,uniform,NA,ANT_SIL,312.48,435.68168973152933,123.20168973152931,0.14309933749243395,0.020679959798269223,458.70146656138314,12.128053571428623,-23.01977682985381,-5.670075579668579,4,100
1,2014,uniform,NA,BS_BR,265.65,29.346137567279676,-236.3038624327203,0.06449284271751243,0.10062119142371412,-23.122156897277307,12.128053571428623,52.46829446455698,-5.670075579668579,4,100
