region,year,plan_id,issuer,metal,share,posted_premium,realized_premium,markup,mc_foc,mc_structural,ra_factor_static,ra_transfer,predicted_claims,predicted_risk_score,lerner_index,commission_pmpm,admin_pmpm,base_premium,region_factor
7,2015,HN_G,Health_Net,Gold,0.0057302990576190704,485.93,583.6684467761648,-64.38245246297708,450.61005378941053,597.2273587417308,0.8640000000000001,-21.035035652196825,625.5733306184301,1.4503247163265234,-0.11030654958065185,11.21138522455363,50.82354049741116,498.4427381079661,0.9748963378311758
7,2015,HN_P,Health_Net,Platinum,0.002887728886008032,583.26,695.2293581123802,-853.4789196501049,516.7761086184655,1497.884737265074,1.035,378.91239370786536,2037.6429623749382,2.75653424544671,-1.2276220928980743,17.20936469483436,50.82354049741116,595.3700529549351,0.9796596202734239
7,2015,HN_SIL,Health_Net,Silver,0.019489790947731022,406.74,506.2368295549451,-92.71756060055316,396.85006196769956,548.1308496580871,0.721,-53.21087491694994,537.3357550622774,1.204870310221262,-0.18315056350614636,11.161285844543322,50.82354049741116,416.42265626972915,0.9767480080059395
7,2015,KA_BR,Kaiser,Bronze,0.05073653310021178,273.33,355.5635502688234,-16.290814543872507,252.063816200446,352.40930725509,0.6,-188.80833282165477,169.3748108702019,0.617878591792122,-0.0458168857059613,6.25,19.445057557605885,249.06463426052488,1.0974259786481497
7,2015,KA_G,Kaiser,Gold,0.012943603382382885,443.84,537.4679379568857,115.42464804512298,443.85858718768293,402.5982323541569,0.8640000000000001,-54.21816984535041,357.71881056617286,1.363194070738466,0.21475634152968215,6.25,19.445057557605885,398.2755879692902,1.1144042301538781
7,2015,KA_P,Kaiser,Platinum,0.01798931124635306,474.12,571.5334217863654,90.77155157230465,489.916029862384,461.31681265645483,1.035,-94.81489975293971,378.424653173554,1.4417159826585462,0.1588210734703706,6.25,19.445057557605885,422.9160616198388,1.1210735250490171
7,2015,KA_SIL,Kaiser,Silver,0.056765495510979334,365.39,476.26873463196836,94.42895931697007,396.6081383993833,362.3947177573924,0.721,-40.668709964227574,335.5002161592407,1.3091632579298276,0.19826823062391247,6.25,19.445057557605885,330.4772945897861,1.1056432801338145
7,2015,VAL_BR,Valley,Bronze,0.012078299256906655,267.58,347.42750949751945,-27.81729351305846,167.72573522485033,296.2223929467727,0.6,-200.90458210690053,102.71575732224744,0.5763912543111734,-0.08006646783177965,0,79.02241006380522,267.58,1
7,2015,VAL_G,Valley,Gold,0.005109308443296591,412.11,513.4464155800986,177.58862486979598,372.2689914880906,256.83538064649736,0.8640000000000001,-19.269483869249374,254.36292087564684,1.5120142003917179,0.34587567364581556,0,79.02241006380522,412.10999999999996,1.0000000000000002
7,2015,VAL_P,Valley,Platinum,0.003797486367981601,475.6,571.0558594924192,654.7731193922275,425.37913893847195,-162.73966996361344,1.035,715.8795607198609,592.7029291403649,3.71776047313751,1.1466008246097326,0,79.02241006380522,475.6,1
7,2015,VAL_SIL,Valley,Silver,0.01545231228421083,353.9,470.6592726256455,94.14915063621426,325.9016667512436,297.487711925626,0.721,-133.74081340451667,179.83991661886364,1.0457349093813861,0.20003674868868232,0,79.02241006380522,353.9,1
7,2016,ANT_BR,Anthem,Bronze,0.0713611695052228,276.7,365.5217999584844,-32.6166632494212,186.52529075585713,363.1427082073807,0.6,-169.62624008417572,208.6460484920179,0.6652527462092211,-0.08923315450166247,14,34.995755000524916,265.25627815182185,1.0431421338183302
7,2016,ANT_BR_HSA,Anthem,Bronze,0.08850603512158696,258.04,337.03437775904,-87.02541722353413,143.99175991586947,389.0640399820492,0.6,-169.32269963536544,219.74134034668378,0.6534024783933301,-0.2582093191862827,14,34.995755000524916,247.63787435304369,1.0420053906298945
7,2016,ANT_G,Anthem,Gold,0.014008042538570058,466.01,578.731202805396,187.04813938103928,383.4988707732871,356.68730842383184,0.8640000000000001,115.1221120638323,508.44600442425184,1.7006358524079355,0.3232038267062922,14,34.995755000524916,429.2720239769982,1.0855820411557273
7,2016,ANT_G3,Anthem,Gold,0.002980020240963484,528.25,636.9757498201386,454.46980592732814,417.67046537852013,147.51018889228558,0.8640000000000001,135.56642737958148,307.2299529959319,1.7110553589607753,0.7134805462463143,14,34.995755000524916,378.433910955823,1.3958844191995943
7,2016,ANT_P,Anthem,Platinum,0.00833804083920137,545.18,662.6508389992615,678.139120586775,221.45491286200615,-50.48403658803841,1.035,1045.8985118571297,1073.2677760982126,4.023302546062046,1.0233732165960945,14,34.995755000524916,495.39185661157364,1.1005025470724767
7,2016,ANT_P3,Anthem,Platinum,0.0017940148970596531,613.07,745.7478261982532,1199.6418171480839,252.7678998261669,-488.8897459503555,1.035,1089.0315752673812,651.3774080836631,4.126350328292291,1.6086427274803283,14,34.995755000524916,433.95585242165595,1.4127473948762574
7,2016,ANT_SIL,Anthem,Silver,0.10982787943959854,369.75,518.0456346222561,116.3932445505871,386.880610846125,366.6566350711441,0.721,-7.219823579201555,386.9017663164753,1.3740472559480505,0.22467758971747284,14,34.995755000524916,342.8767417802734,1.078375856233923
7,2016,ANT_SIL3,Anthem,Silver,0.018967488800452282,417.97,536.0397503907652,293.9673988485028,398.9745753577975,207.0765965417375,0.721,11.5360097067491,237.58482701264953,1.3055809493876849,0.5484059692106878,14,34.995755000524916,299.4586267329966,1.3957520762047393
7,2016,BS_BR,Blue_Shield,Bronze,0.024223732605913522,362.8,463.5539654891399,101.16636937534636,371.31367850238325,319.33221642986325,0.6,-146.59376104361326,179.70263012294117,0.6908962187905627,0.21824075923629754,16.458705765979126,43.05537968393028,284.31944784571454,1.2760294898886861
7,2016,BS_BR_HSA,Blue_Shield,Bronze,0.022895813050016013,365.99,465.3865430965027,96.37424725544847,372.6548868281227,325.95691615712394,0.6,-145.2106458560165,180.74627030110742,0.6894278660599413,0.20708430160917712,16.101077255707516,43.05537968393028,286.6356603041531,1.2768474083498296
7,2016,BS_G,Blue_Shield,Gold,0.006249779675139623,536.12,631.1039483595624,370.145191611512,427.6707449212828,217.9033770641201,0.8640000000000001,200.54794661800923,441.57670690268947,1.8418673318818557,0.5865043192545947,20.81024031361451,43.05537968393028,396.7920290840679,1.3511360125795593
7,2016,BS_P,Blue_Shield,Platinum,0.0018091236799618062,683.47,785.6095914744566,1056.3319442672482,302.8700490755815,-313.7777324767221,1.035,1041.273655390049,828.7080626347699,3.9279725634817595,1.3446016389447226,26.694535139098036,43.05537968393028,493.12624729708347,1.3859939594499908
7,2016,BS_SIL,Blue_Shield,Silver,0.03961478729772931,423.58,538.7056558298196,212.98657085352627,421.9635182483951,282.6637052923631,0.721,28.936573379670772,328.76606625536857,1.3408210386152322,0.3953672447070242,19.089847471874815,43.05537968393028,318.87317848941336,1.3283650948838361
7,2016,HN_BR,Health_Net,Bronze,0.041292008818786946,298.95,393.50183015140584,-61.93038234052824,255.21502301779202,403.9740627955981,0.6,-204.24113746141182,216.1764431209459,0.5672380949464968,-0.1573827047175348,20.08797907718525,51.458149696335965,273.68588406343866,1.0923106283797424
7,2016,HN_G,Health_Net,Gold,0.006900928643951295,490.41,565.619316986365,-202.6909683623009,422.92232071877964,716.8521356523299,0.8640000000000001,33.394480639634274,812.0125647894979,1.3945667960578942,-0.3583522738265798,31.32252566359343,51.458149696335965,510.552018371248,0.9605485481469556
7,2016,HN_P,Health_Net,Platinum,0.0037087640107586572,576.22,644.4555086758296,-972.6753560109742,446.0465185401608,1565.6727149904677,1.035,497.1083371202289,2232.604714703232,2.6034868906639197,-1.5092979157080086,39.071142660399644,51.458149696335965,599.3584832200625,0.9613945845969334
7,2016,HN_SIL,Health_Net,Silver,0.04874013199676505,390.43,501.60847796345536,-328.05418070620107,371.891305993586,778.2045089733205,0.721,-28.43382504746897,811.4974500887031,1.2024758147414887,-0.6540044578953497,28.14348784986028,51.458149696335965,406.1648744639217,0.9612598837240925
7,2016,KA_BR,Kaiser,Bronze,0.05080431431795879,292.11,385.7024502417686,-3.8317136239296943,269.2422675203446,370.87951603193414,0.6,-185.00010590581013,192.8186839300642,0.6229951661874344,-0.009934377190313088,6.25,18.654647833764137,267.722011214081,1.091094447839096
7,2016,KA_BR_HSA,Kaiser,Bronze,0.05638704980665475,284.59,375.43654664154155,-15.70306690866878,252.72008699733115,372.4849657164462,0.6,-185.6244717645749,186.8604939518713,0.62029218744734,-0.041826154244013224,6.25,18.654647833764137,260.60436974969343,1.0920384806799073
7,2016,KA_G,Kaiser,Gold,0.014475675153331391,456.63,569.876200668254,151.59618165925937,457.78518145037935,399.6253711752305,0.8640000000000001,-11.841958714001608,405.92734767102013,1.3883845453291497,0.2660159899316608,6.25,18.654647833764137,412.94792433637383,1.1057810757465976
7,2016,KA_P,Kaiser,Platinum,0.01770672310600644,494.27,610.3054275773444,145.81004253246797,509.07467148473694,445.8407372111123,1.035,-44.748003610876864,420.1462577198916,1.4728423652166351,0.2389132325289527,6.25,18.654647833764137,444.2071250861869,1.1127016476921654
7,2016,KA_SIL,Kaiser,Silver,0.06356313842963135,383.58,522.4804795741029,135.2595326603359,432.86758069596476,368.56629908000286,0.721,-6.979294210612321,381.25086619726557,1.3359495377981698,0.25887959062239413,6.25,18.654647833764137,349.96075282340485,1.0960657642474552
